Date,10-year-T,Corporate-Profits,GDP,Net-Exports,Unemployment-Rate,SP500-PosNeg
1985-01-01,11.384285714285713,204.768,7824.247,-91.298,7.3,True
1985-02-01,11.508888888888889,204.768,7824.247,-91.298,7.2,False
1985-03-01,11.855238095238096,204.768,7824.247,-91.298,7.2,False
1985-04-01,11.434761904761904,205.85,7893.136,-114.445,7.3,True
1985-05-01,10.84681818181818,205.85,7893.136,-114.445,7.2,True
1985-06-01,10.156,205.85,7893.136,-114.445,7.4,False
1985-07-01,10.30681818181818,209.89,8013.674,-116.895,7.4,False
1985-08-01,10.33181818181818,209.89,8013.674,-116.895,7.1,False
1985-09-01,10.373157894736842,209.89,8013.674,-116.895,7.1,True
1985-10-01,10.23681818181818,211.649,8073.239,-133.434,7.1,True
1985-11-01,9.78157894736842,211.649,8073.239,-133.434,7.0,True
1985-12-01,9.25904761904762,211.649,8073.239,-133.434,7.0,True
1986-01-01,9.193809523809524,176.84,8148.603,-126.014,6.7,True
1986-02-01,8.704210526315789,176.84,8148.603,-126.014,7.2,True
1986-03-01,7.7785,176.84,8148.603,-126.014,7.2,False
1986-04-01,7.299090909090909,172.969,8185.303,-128.872,7.1,True
1986-05-01,7.70952380952381,172.969,8185.303,-128.872,7.2,True
1986-06-01,7.7995238095238095,172.969,8185.303,-128.872,7.2,False
1986-07-01,7.303181818181818,171.499,8263.639,-138.961,7.0,True
1986-08-01,7.1657142857142855,171.499,8263.639,-138.961,6.9,False
1986-09-01,7.447619047619046,171.499,8263.639,-138.961,7.0,True
1986-10-01,7.426363636363635,175.984,8308.021,-133.629,7.0,True
1986-11-01,7.250555555555556,175.984,8308.021,-133.629,6.9,False
1986-12-01,7.112727272727273,175.984,8308.021,-133.629,6.6,True
1987-01-01,7.0845,187.831,8369.93,-141.234,6.6,True
1987-02-01,7.2505263157894735,187.831,8369.93,-141.234,6.6,True
1987-03-01,7.248636363636363,187.831,8369.93,-141.234,6.6,False
1987-04-01,8.022857142857143,215.335,8460.233,-146.977,6.3,True
1987-05-01,8.613,215.335,8460.233,-146.977,6.3,True
1987-06-01,8.402272727272726,215.335,8460.233,-146.977,6.2,True
1987-07-01,8.446818181818182,230.169,8533.635,-145.464,6.1,True
1987-08-01,8.76047619047619,230.169,8533.635,-145.464,6.0,False
1987-09-01,9.421904761904761,230.169,8533.635,-145.464,5.9,False
1987-10-01,9.52,239.018,8680.162,-145.405,6.0,False
1987-11-01,8.860526315789473,239.018,8680.162,-145.405,5.8,True
1987-12-01,8.987727272727271,239.018,8680.162,-145.405,5.7,True
1988-01-01,8.66578947368421,249.639,8725.006,-123.987,5.7,True
1988-02-01,8.212,249.639,8725.006,-123.987,5.7,False
1988-03-01,8.373478260869565,249.639,8725.006,-123.987,5.7,True
1988-04-01,8.7185,265.179,8839.641,-106.627,5.4,True
1988-05-01,9.08904761904762,265.179,8839.641,-106.627,5.6,True
1988-06-01,8.921363636363635,265.179,8839.641,-106.627,5.4,False
1988-07-01,9.056,264.662,8891.435,-99.263,5.4,False
1988-08-01,9.260434782608696,264.662,8891.435,-99.263,5.6,True
1988-09-01,8.977142857142857,264.662,8891.435,-99.263,5.4,True
1988-10-01,8.7955,276.88,9009.913,-107.694,5.4,False
1988-11-01,8.9625,276.88,9009.913,-107.694,5.3,True
1988-12-01,9.105714285714285,276.88,9009.913,-107.694,5.3,True
1989-01-01,9.0915,275.1,9101.508,-100.965,5.4,False
1989-02-01,9.168947368421053,275.1,9101.508,-100.965,5.2,True
1989-03-01,9.357727272727272,275.1,9101.508,-100.965,5.0,True
1989-04-01,9.1755,268.646,9170.977,-88.16,5.2,True
1989-05-01,8.85909090909091,268.646,9170.977,-88.16,5.2,False
1989-06-01,8.277272727272726,268.646,9170.977,-88.16,5.3,True
1989-07-01,8.0185,257.909,9238.923,-75.075,5.2,True
1989-08-01,8.112608695652174,257.909,9238.923,-75.075,5.2,False
1989-09-01,8.1905,257.909,9238.923,-75.075,5.3,False
1989-10-01,8.007619047619047,258.272,9257.128,-82.765,5.3,True
1989-11-01,7.874285714285714,258.272,9257.128,-82.765,5.4,True
1989-12-01,7.836,258.272,9257.128,-82.765,5.4,False
1990-01-01,8.206666666666665,268.869,9358.289,-88.536,5.4,True
1990-02-01,8.473157894736842,268.869,9358.289,-88.536,5.3,True
1990-03-01,8.588636363636363,268.869,9358.289,-88.536,5.2,False
1990-04-01,8.7855,282.342,9392.251,-68.833,5.4,True
1990-05-01,8.758181818181818,282.342,9392.251,-68.833,5.4,False
1990-06-01,8.48,282.342,9392.251,-68.833,5.2,False
1990-07-01,8.471428571428572,288.2,9398.499,-74.953,5.5,False
