DATE,EXPGS
1967-01-01,43.886
1967-04-01,43.239
1967-07-01,42.845
1967-10-01,43.896
1968-01-01,45.452
1968-04-01,47.165
1968-07-01,49.891
1968-10-01,49.116
1969-01-01,44.042
1969-04-01,53.775
1969-07-01,53.596
1969-10-01,56.275
1970-01-01,57.031
1970-04-01,60.411
1970-07-01,60.519
1970-10-01,60.873
1971-01-01,63.221
1971-04-01,62.894
1971-07-01,65.717
1971-10-01,60.019
1972-01-01,68.639
1972-04-01,67.152
1972-07-01,71.453
1972-10-01,76.129
1973-01-01,83.959
1973-04-01,91.923
1973-07-01,97.576
1973-10-01,107.62
1974-01-01,116.709
1974-04-01,126.668
1974-07-01,126.638
1974-10-01,136.585
1975-01-01,141.369
1975-04-01,136.827
1975-07-01,134.098
1975-10-01,142.531
1976-01-01,143.588
1976-04-01,146.621
1976-07-01,151.775
1976-10-01,156.076
1977-01-01,155.354
1977-04-01,161.906
1977-07-01,162.325
1977-10-01,157.809
1978-01-01,164.601
1978-04-01,186.215
1978-07-01,191.302
1978-10-01,205.415
1979-01-01,211.669
1979-04-01,220.908
1979-07-01,234.277
1979-10-01,253.664
1980-01-01,268.508
1980-04-01,277.389
1980-07-01,284.673
1980-10-01,292.517
1981-01-01,305.467
1981-04-01,308.455
1981-07-01,302.339
1981-10-01,304.695
1982-01-01,293.202
1982-04-01,294.729
1982-07-01,279.634
1982-10-01,265.274
1983-01-01,270.703
1983-04-01,272.514
1983-07-01,278.181
1983-10-01,286.587
1984-01-01,292.975
1984-04-01,302.2
1984-07-01,305.744
1984-10-01,308.603
1985-01-01,306.01
1985-04-01,304.126
1985-07-01,297.273
1985-10-01,305.433
1986-01-01,313.404
1986-04-01,315.119
1986-07-01,320.471
1986-10-01,334.999
1987-01-01,336.451
1987-04-01,355.36
1987-07-01,371.854
1987-10-01,392.107
1988-01-01,418.727
1988-04-01,439.471
1988-07-01,453.586
1988-10-01,466.619
1989-01-01,485.189
1989-04-01,507.229
1989-07-01,509.352
1989-10-01,515.387
1990-01-01,538.232
1990-04-01,545.925
1990-07-01,555.149
1990-10-01,568.186
1991-01-01,573.177
1991-04-01,590.733
1991-07-01,600.595
1991-10-01,615.217
1992-01-01,625.287
1992-04-01,626.163
1992-07-01,639.365
1992-10-01,641.396
1993-01-01,643.606
1993-04-01,653.094
1993-07-01,650.897
1993-10-01,671.6
1994-01-01,681.232
1994-04-01,706.988
1994-07-01,736.883
1994-10-01,758.646
1995-01-01,781.57
1995-04-01,798.851
1995-07-01,831.399
1995-10-01,839.421
1996-01-01,847.94
1996-04-01,859.042
1996-07-01,859.577
1996-10-01,903.798
1997-01-01,918.374
1997-04-01,954.45
1997-07-01,974.057
1997-10-01,968.33
1998-01-01,963.021
1998-04-01,947.295
1998-07-01,935.263
1998-10-01,966.337
1999-01-01,962.357
1999-04-01,973.513
1999-07-01,1003.226
1999-10-01,1032.015
2000-01-01,1054.192
2000-04-01,1092.458
2000-07-01,1124.279
2000-10-01,1114.092
2001-01-01,1095.054
2001-04-01,1052.59
2001-07-01,996.394
2001-10-01,954.505
2002-01-01,970.716
2002-04-01,1003.906
2002-07-01,1017.154
2002-10-01,1003.188
2003-01-01,1008.18
2003-04-01,1007.93
2003-07-01,1038.108
2003-10-01,1090.49
2004-01-01,1137.713
2004-04-01,1167.759
2004-07-01,1182.712
2004-10-01,1222.34
2005-01-01,1264.763
2005-04-01,1296.03
2005-07-01,1307.139
2005-10-01,1352.968
2006-01-01,1413.011
2006-04-01,1459.973
2006-07-01,1477.849
2006-10-01,1539.619
2007-01-01,1577.081
2007-04-01,1622.14
2007-07-01,1683.704
2007-10-01,1760.49
2008-01-01,1810.993
2008-04-01,1909.719
2008-07-01,1921.772
2008-10-01,1705.736
2009-01-01,1514.327
2009-04-01,1518.333
2009-07-01,1591.059
2009-10-01,1704.264
2010-01-01,1746.875
2010-04-01,1810.006
2010-07-01,1865.624
2010-10-01,1962.617
2011-01-01,2030.271
2011-04-01,2105.084
2011-07-01,2138.792
2011-10-01,2137.832
2012-01-01,2164.599
2012-04-01,2192.129
2012-07-01,2201.78
2012-10-01,2206.611
2013-01-01,2239.163
2013-04-01,2250.667
2013-07-01,2269.443
2013-10-01,2334.44
2014-01-01,2335.909
2014-04-01,2387.115
2014-07-01,2391.892
2014-10-01,2371.898
2015-01-01,2295.028
2015-04-01,2296.204
2015-07-01,2255.524
2015-10-01,2216.692
2016-01-01,2177.265
2016-04-01,2207.832
2016-07-01,2258.175
2016-10-01,2265.425
2017-01-01,2326.357
2017-04-01,2333.107
2017-07-01,2370.118
2017-10-01,2468.658
2018-01-01,2507.185
2018-04-01,2550.287
2018-07-01,2523.896
2018-10-01,2533.449
2019-01-01,2523.469
2019-04-01,2514.644
2019-07-01,2505.219
2019-10-01,2515.671
2020-01-01,2438.71
2020-04-01,1788.166
2020-07-01,2071.577
