DATE,ICSA
1967-01-01,209000.000000000000
1967-02-01,229000.000000000000
1967-03-01,260750.000000000000
1967-04-01,263000.000000000000
1967-05-01,235750.000000000000
1967-06-01,232000.000000000000
1967-07-01,227800.000000000000
1967-08-01,212750.000000000000
1967-09-01,216400.000000000000
1967-10-01,216750.000000000000
1967-11-01,206250.000000000000
1967-12-01,211200.000000000000
1968-01-01,215750.000000000000
1968-02-01,210750.000000000000
1968-03-01,195200.000000000000
1968-04-01,199000.000000000000
1968-05-01,199000.000000000000
1968-06-01,193600.000000000000
1968-07-01,196250.000000000000
1968-08-01,199400.000000000000
1968-09-01,191000.000000000000
1968-10-01,186000.000000000000
1968-11-01,183400.000000000000
1968-12-01,199500.000000000000
1969-01-01,191500.000000000000
1969-02-01,196000.000000000000
1969-03-01,189000.000000000000
1969-04-01,184000.000000000000
1969-05-01,181200.000000000000
1969-06-01,192000.000000000000
1969-07-01,208750.000000000000
1969-08-01,198400.000000000000
1969-09-01,194750.000000000000
1969-10-01,199250.000000000000
1969-11-01,205000.000000000000
1969-12-01,219750.000000000000
1970-01-01,247000.000000000000
1970-02-01,258500.000000000000
1970-03-01,268250.000000000000
1970-04-01,325250.000000000000
1970-05-01,310400.000000000000
1970-06-01,296500.000000000000
1970-07-01,286500.000000000000
1970-08-01,285400.000000000000
1970-09-01,318500.000000000000
1970-10-01,333600.000000000000
1970-11-01,325250.000000000000
1970-12-01,306000.000000000000
1971-01-01,298800.000000000000
1971-02-01,284000.000000000000
1971-03-01,293750.000000000000
1971-04-01,287500.000000000000
1971-05-01,292200.000000000000
1971-06-01,296500.000000000000
1971-07-01,293200.000000000000
1971-08-01,325250.000000000000
1971-09-01,320250.000000000000
1971-10-01,297600.000000000000
1971-11-01,287000.000000000000
1971-12-01,273000.000000000000
1972-01-01,271200.000000000000
1972-02-01,263500.000000000000
1972-03-01,262750.000000000000
1972-04-01,263000.000000000000
1972-05-01,267750.000000000000
1972-06-01,273250.000000000000
1972-07-01,297600.000000000000
1972-08-01,253500.000000000000
1972-09-01,256200.000000000000
1972-10-01,251000.000000000000
1972-11-01,250750.000000000000
1972-12-01,242400.000000000000
1973-01-01,228500.000000000000
1973-02-01,222000.000000000000
1973-03-01,227200.000000000000
1973-04-01,239000.000000000000
1973-05-01,240250.000000000000
1973-06-01,238800.000000000000
1973-07-01,242750.000000000000
1973-08-01,258250.000000000000
1973-09-01,246800.000000000000
1973-10-01,241500.000000000000
1973-11-01,253750.000000000000
1973-12-01,284000.000000000000
1974-01-01,305250.000000000000
1974-02-01,318500.000000000000
1974-03-01,311600.000000000000
1974-04-01,293000.000000000000
1974-05-01,297500.000000000000
1974-06-01,305600.000000000000
1974-07-01,309500.000000000000
1974-08-01,341400.000000000000
1974-09-01,360750.000000000000
1974-10-01,396750.000000000000
1974-11-01,457600.000000000000
1974-12-01,524000.000000000000
1975-01-01,535000.000000000000
1975-02-01,544500.000000000000
1975-03-01,546600.000000000000
1975-04-01,525250.000000000000
1975-05-01,498800.000000000000
1975-06-01,495500.000000000000
1975-07-01,442000.000000000000
1975-08-01,452000.000000000000
1975-09-01,445250.000000000000
1975-10-01,421250.000000000000
1975-11-01,400600.000000000000
1975-12-01,374250.000000000000
1976-01-01,371200.000000000000
1976-02-01,348250.000000000000
1976-03-01,360500.000000000000
1976-04-01,370250.000000000000
1976-05-01,391600.000000000000
1976-06-01,393750.000000000000
1976-07-01,390800.000000000000
1976-08-01,388500.000000000000
1976-09-01,407500.000000000000
1976-10-01,409000.000000000000
1976-11-01,389500.000000000000
1976-12-01,373750.000000000000
1977-01-01,401800.000000000000
1977-02-01,450750.000000000000
1977-03-01,360250.000000000000
1977-04-01,367400.000000000000
1977-05-01,380250.000000000000
1977-06-01,361250.000000000000
1977-07-01,361400.000000000000
1977-08-01,367250.000000000000
1977-09-01,368750.000000000000
1977-10-01,359000.000000000000
1977-11-01,353500.000000000000
1977-12-01,359600.000000000000
1978-01-01,351000.000000000000
